fecha,concepto,monto,category
2023-07-10,Plan de pagos fijos mayo,13402.39,Other
2023-07-10,Compra dif... Liverp...,3848.99,Other
2023-07-11,iMuchas gracias! Pago a tu tarjeta de crédito -,3800.0,Other
2023-07-10,. Otros Plan de pagos fijos mayo - 3/6,2233.73,Other
2023-08-03,iMuchas gracias! Pago a tu tarjeta de crédito -,1500.0,Other
2023-08-05,4) Hogar Costco Linda Vista,1299.23,Other
2023-07-10,? Otros Compra diferida - Liverpool ... - 3/3,1282.0,Other
2023-08-08,38 Otros Prisma Envase,1019.3,Other
2023-08-07,iMuchas gracias! Pago a tu tarjeta de crédito -,1019.0,Other
2023-08-04,& Transporte Serv Talisman |,850.0,Other
2023-08-03,iMuchas gracias! Pago a tu tarjeta de crédito -,850.0,Other
2023-08-10,@ = Ajuste Intereses ordinarios,762.53,Other
2023-08-09,Muchas gracias! Pago a tu tarjeta de crédito -,600.0,Other
2023-07-25,iMuchas gracias! Pago a tu tarjeta de crédito -,600.0,Other
2023-07-26,= & Electrénicos Home Depot8692 L Vista,575.0,Other
2023-07-17,é2 Electronicos Home Depot8692 L Vista,575.0,Other
2023-07-22,iMuchas gracias! Pago a tu tarjeta de crédito -,500.0,Other
2023-07-26,= {): - Hogar Petco Fortuna,418.0,Other
2023-07-15,jj Restaurante Uber* Eats,416.15,Other
2023-07-25,iMuchas gracias! Pago a tu tarjeta de crédito -,400.0,Other
2023-08-04,4 Hogar Petco Fortuna,390.0,Other
2023-07-17,fp Hogar Petco Fortuna,390.0,Other
2023-08-03,iMuchas gracias! Pago a tu tarjeta de crédito -,390.0,Other
2023-07-16,gS Electronicos Chatgpt Subscription,337.81,Other
2023-07-23,il Restaurante Rest Los Primos,306.9,Other
2023-07-24,iMuchas gracias! Pago a tu tarjeta de crédito -,300.0,Other
2023-07-23,— ji Restaurante Uber* Eats,299.0,Other
2023-07-20,=“ Servicio Disney Plus,269.0,Other
2023-07-25,88 Otros Clip Mx*Luchitas And F,253.0,Other
2023-07-22,88 Otros Ztl*Andresblancoduran,241.0,Other
2023-07-23,88 Otros Msft Subscription,229.0,Other
2023-07-17,‘2 Supermercado Chedraui Sel Mx Lindav,214.9,Other
2023-07-22,‘2 Supermercado Oxxo San Cayetano Mex,207.5,Other
2023-07-29,iMuchas gracias! Pago a tu tarjeta de crédito -,200.0,Other
2023-07-22,iMuchas gracias! Pago a tu tarjeta de crédito -,160.0,Other
2023-07-29,iMuchas gracias! Pago a tu tarjeta de crédito -,150.0,Other
2023-07-23,38 Otros Clip Mx*Selina Hospita,140.0,Other
2023-07-20,= Servicio Apple.Com/Bill,139.0,Other
2023-07-14,( Transporte Uber* Trip,136.76,Other
2023-07-30,¥? Supermercado Oxxo San Cayetano Mex,135.0,Other
2023-07-23,ji Restaurante Uber* Eats,126.5,Other
2023-07-31,e Supermercado Oxxo Real Del Monte,126.0,Other
2023-08-10,@ =Ajuste IVA sobre intereses ordinarios,110.64,Other
2023-07-30,jj! Restaurante Pasteleria Arbelo S,105.0,Other
2023-07-23,88 Otros Ztl*Andresblancoduran,104.0,Other
2023-07-29,iMuchas gracias! Pago a tu tarjeta de crédito -,100.0,Other
2023-07-18,fp Hogar Netpay*Steren,99.01,Other
2023-07-20,‘© Supermercado Oxxo San Cayetano Mex,89.0,Other
2023-07-28,iMuchas gracias! Pago a tu tarjeta de crédito -,85.0,Other
2023-07-23,e Supermercado Oxxo San Cayetano Mex,75.5,Other
2023-07-22,iMuchas gracias! Pago a tu tarjeta de crédito -,75.0,Other
2023-08-05,& Transporte Uber* One,70.0,Other
2023-08-06,8 Otros Clip Mx*la Consentida,62.0,Other
2023-07-21,e Supermercado Oxxo Naciones,55.0,Other
2023-08-02,iMuchas gracias! Pago a tu tarjeta de crédito -,50.0,Other
2023-07-12,&@ Servicio Apple.Com/Bill,49.0,Other
2023-08-06,e Supermercado Oxxo San Cayetano Mex,46.0,Other
2023-07-29,‘= Supermercado 7 Eleven T,44.5,Other
2023-08-07,© Supermercado Oxxopuerto Rubi Mex,42.0,Other
2023-07-28,iMuchas gracias! Pago a tu tarjeta de crédito -,40.0,Other
2023-08-09,iMuchas gracias! Pago a tu tarjeta de crédito -,35.0,Other
2023-07-23,e Supermercado Oxxo Salvador Diaz Mex,31.5,Other
2023-07-30,iMuchas gracias! Pago a tu tarjeta de crédito -,30.0,Other
2023-08-06,e Supermercado Oxxo Continentes,29.5,Other
2023-07-22,iMuchas gracias! Pago a tu tarjeta de crédito -,25.0,Other
2023-08-06,© Supermercado 7 Eleven T,25.0,Other
2023-07-17,é2 Electronicos Home Depot8692 L Vista,22.6,Other
2023-07-25,e Supermercado 7 Eleven Hosp 1 de Oct,22.0,Other
2023-07-28,iMuchas gracias! Pago a tu tarjeta de crédito -,20.0,Other
2023-07-28,iMuchas gracias! Pago a tu tarjeta de crédito -,19.0,Other
2023-07-21,2 Supermercado Wm Express Lindavista,15.1,Other
2023-08-05,*? Supermercado 7 Eleven T,4.5,Other
2023-08-08,Ajuste Ajuste de IVA para cargo diferido -,1.71,Other
2023-07-11,@ Ajuste Ajuste anulado de IVA para cargo dife...,1.71,Other
2023-08-08,Ajuste Abono por compra diferida -,0.42,Other
2023-07-11,@ Ajuste Abono por compra diferida,0.42,Other
